audit_id,table_name,record_id,change_type,change_date,user_id,old_values,new_values
90000,INVESTMENT_FUND,10,INSERT,2024-07-01T10:00:00,user1,,fund_id=10
90001,PORTFOLIO_COMPANY,1000,INSERT,2024-07-02T10:01:00,user2,,company_id=1000
90002,INVESTMENT_POSITION,50000,INSERT,2024-07-03T10:02:00,user3,,position_id=50000
90003,ESG_PERFORMANCE,70000,INSERT,2024-07-04T10:03:00,user4,,performance_id=70000
90004,ESG_METRIC,200,UPDATE,2024-07-05T10:04:00,user1,status=Draft,status=Active
90005,ESG_DATA_SOURCE,300,INSERT,2024-07-06T10:05:00,user2,,source_id=300
90006,REGULATORY_FRAMEWORK,400,INSERT,2024-07-07T10:00:00,user3,,framework_id=400
90007,INVESTMENT_FUND,11,UPDATE,2024-07-08T10:01:00,user4,total_assets=180000000,total_assets=185000000
90008,PORTFOLIO_COMPANY,1001,UPDATE,2024-07-09T10:02:00,user1,employee_count=1200,employee_count=1215
90009,ESG_PERFORMANCE,70001,UPDATE,2024-07-10T10:03:00,user2,metric_value=53.7,metric_value=55.0
